Time,H,O,X,nn,ss,xx
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,2,1,0,0,0
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:58,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:02:59,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:00,0,1,0,0,0,2
21:03:01,0,1,0,0,0,2
21:03:01,0,1,0,0,0,2
21:03:01,0,1,0,0,0,2
21:03:01,0,1,0,0,0,2
21:03:01,0,1,0,0,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,2,0,2
21:03:01,0,1,0,2,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,1,0,2
21:03:01,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,1,0,2
21:03:02,0,1,0,1,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,1,0,2
21:03:02,0,1,0,1,0,2
21:03:02,0,1,0,2,0,2
21:03:02,0,1,0,2,0,2
21:03:03,0,1,0,2,0,2
21:03:03,0,1,0,2,0,2
21:03:03,0,1,0,2,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,2,0,2
21:03:03,0,1,0,2,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:03,0,1,0,1,0,2
21:03:04,0,1,0,1,0,2
21:03:04,0,1,0,1,0,2
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,1,0,0
21:03:04,0,1,2,0,0,0
21:03:04,0,1,2,0,0,0
21:03:05,0,1,2,0,0,0
21:03:05,0,1,2,0,0,0
21:03:05,0,1,2,0,0,0
21:03:05,0,1,2,0,0,0
21:03:05,0,1,0,0,0,1
21:03:05,0,1,0,0,0,1
21:03:05,0,1,0,0,0,1
21:03:05,0,1,0,0,0,1
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:05,0,1,0,0,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,1,0,2
21:03:06,0,1,0,0,0,2
21:03:06,0,1,0,1,0,2
21:03:06,0,1,0,2,0,2
21:03:06,0,1,0,2,0,2
21:03:06,0,1,0,2,0,2
21:03:06,0,1,0,2,0,2
21:03:06,0,1,0,2,0,2
21:03:06,0,1,0,2,0,2
